name,category,business_phone,business_email,website_url,shop_product_count,meta_ad_count,revenue_opportunities,instagram_link,instagram_desc,instagram_followers,instagram_verified,instagram_engagement_score,facebook_link,facebook_reviews,ecommerce_platform,website_monthly_visitors,estimated_monthly_revenue,email_marketing_tools,website_performance_mobile,website_performance_desktop,website_performance_details
"Northern Garms","Clothing (Brand)","+44 7479 082512","info@northerngarms.co.uk","https://northerngarms.co.uk","153","220","Improve mobile performance; Improve desktop performance; Optimize web pages;","https://www.instagram.com/northerngarms","Be sure to tag your purchasesBuy Now Pay Later With @klarna @clearpay_uk No Restocks! Once It’s Gone It’s GONE","91600","no","0.34","https://www.facebook.com/northerngarms","Not yet rated","Shopify","81655","220000","Klaviyo","77.25","65.25","{""mobile"":{""performance"":48,""accessibility"":88,""bestPractices"":73,""seo"":100,""avg"":77.25},""desktop"":{""performance"":0,""accessibility"":84,""bestPractices"":77,""seo"":100,""avg"":65.25}}"
"Future Past Clothing","Artist","+44 1283 440053","info@future-past.co.uk","https://future-past.co.uk","250","1200","Improve mobile performance; Set up automated email campaigns; Add Instagram Shop;","https://www.instagram.com/futurepastclothing","We’re decadent without precedent.We rage against the dying of the night. Designed with love, worn with pride.Prepare... more","11900","yes","0.28","https://www.facebook.com/futurepastclothing","98% recommend (34 Reviews)﻿","Shopify","78393","300000","NA","88.5","95.0","{""mobile"":{""performance"":67,""accessibility"":87,""bestPractices"":100,""seo"":100,""avg"":88.5},""desktop"":{""performance"":93,""accessibility"":87,""bestPractices"":100,""seo"":100,""avg"":95}}"
"Black Diamond","Outdoor & Sporting Goods Company","Reach via IG/FB","blackdiamond@blackdiamondequipment.com","https://blackdiamondequipment.com","250","6800","Improve mobile performance; Improve desktop performance;","https://www.instagram.com/blackdiamond","Innovative gear for pursuits on rock, ice, snow & trails.","995000","yes","0.42","https://www.facebook.com/blackdiamondequipment","56% recommend (24 Reviews)﻿","Shopify","2221000","20655000","Klaviyo, HubSpot","77.25","78.75","{""mobile"":{""performance"":29,""accessibility"":99,""bestPractices"":96,""seo"":85,""avg"":77.25},""desktop"":{""performance"":39,""accessibility"":95,""bestPractices"":96,""seo"":85,""avg"":78.75}}"
"5Brothers","Men's clothing store","Reach via IG/FB","contact@5brothersclothing.co.uk","https://5brothersclothing.co.uk","27","6200","Improve mobile performance; Set up automated email campaigns;","https://www.instagram.com/5brothersclothe","https://www.5brothersclothing.co.ukMen’s clothing brand","603","yes","0.21","https://www.facebook.com/100063181543499","Not yet rated (0 Reviews)﻿","Shopify","2931","5000","NA","87.0","92.0","{""mobile"":{""performance"":68,""accessibility"":92,""bestPractices"":96,""seo"":92,""avg"":87},""desktop"":{""performance"":88,""accessibility"":92,""bestPractices"":96,""seo"":92,""avg"":92}}"
"Forty Clothing","Men's clothing store","+44 141 465 1371","web@fortyclothing.com","https://fortyclothing.com","250","630","Improve mobile performance; Optimize web pages;","https://www.instagram.com/fortyclothing","📍Unit B12 Glasgow Fort 📍11 Royal Exchange Square, Glasgow📍Unit H1A Silverburn#FortyClothing","45000","no","0.35","https://www.facebook.com/fortyclothing","100% recommend (368 Reviews)﻿","Shopify","54453","150000","Klaviyo","75.5","0.0","{""mobile"":{""performance"":60,""accessibility"":80,""bestPractices"":77,""seo"":85,""avg"":75.5},""desktop"":{""performance"":0,""accessibility"":0,""bestPractices"":0,""seo"":0,""avg"":0}}"
"Badger Clothing","Clothing store","+44 1273 722245","Reach via IG/FB","https://badgerclothing.co.uk","250","6","Improve mobile performance; Improve desktop performance; Set up automated email campaigns;","https://www.instagram.com/badgerclothingbrighton","Established in 1988 Badger is situated in the heart of Brighton offering a wide variety of clothing brands for Men and... more","2826","no","0.28","https://www.facebook.com/badgerclothing","86% recommend (31 Reviews)﻿","Shopify","21868","50000","NA","82.5","81.5","{""mobile"":{""performance"":53,""accessibility"":81,""bestPractices"":96,""seo"":100,""avg"":82.5},""desktop"":{""performance"":52,""accessibility"":78,""bestPractices"":96,""seo"":100,""avg"":81.5}}"
"Sproot Baby","Baby & children's clothing store","Reach via IG/FB","hello@sprootbaby.com","https://sprootbaby.com","43","13","Improve mobile performance; Improve desktop performance;","https://www.instagram.com/sprootbaby","Helping parents today & the planet tomorrow. 🌱👶🏼🌍Soft, organic cotton baby basics. Wear, send back, reward, upcycle.","1725","no","0.25","https://www.facebook.com/sprootbabyclothes","Not yet rated (0 Reviews)﻿","Shopify","6589","10000","Klaviyo","79.25","84.0","{""mobile"":{""performance"":55,""accessibility"":81,""bestPractices"":96,""seo"":85,""avg"":79.25},""desktop"":{""performance"":73,""accessibility"":82,""bestPractices"":96,""seo"":85,""avg"":84}}"
"This is Unfolded","Shopping & retail","Reach via IG/FB","support@thisisunfolded.com","https://thisisunfolded.com","250","1900","Improve mobile performance;","https://www.instagram.com/thisisunfolded","Waste free clothes loved by 100,000 + womenDesigned by you, made for a better 🌎 Newcastle pop up 15th Nov As seen on ... more","145000","yes","0.35","https://www.facebook.com/thisisunfolded","Not yet rated","Shopify","439051","1205000","Klaviyo","83.25","91.25","{""mobile"":{""performance"":54,""accessibility"":91,""bestPractices"":96,""seo"":92,""avg"":83.25},""desktop"":{""performance"":86,""accessibility"":91,""bestPractices"":96,""seo"":92,""avg"":91.25}}"
"Nova Clothing","Men's clothing store","+44 7734 723799","support@novaclothing.co.uk","https://novaclothing.co.uk","250","96","Improve mobile performance; Improve desktop performance;","https://www.instagram.com/nova_clothinguk","We offer a range of clothing from brands such as Dsquared2, Givenchy, Philipp Plein, Balmain, Alexander McQueen,... more","122000","no","0.35","https://www.facebook.com/NovaClothingOnline","Not yet rated (3 Reviews)﻿","Shopify","63294","175000","Klaviyo, Omnisend","63.25","75.75","{""mobile"":{""performance"":16,""accessibility"":91,""bestPractices"":54,""seo"":92,""avg"":63.25},""desktop"":{""performance"":66,""accessibility"":91,""bestPractices"":54,""seo"":92,""avg"":75.75}}"
"Thrivin","Clothing (Brand)","Reach via IG/FB","info@thrivin-gymwear.com","https://thrivin-gymwear.com","141","720","Improve mobile performance; Improve desktop performance; Optimize web pages;","https://www.instagram.com/thrivingymwear","Because when you believe, you become unstoppable.✨CHIARA X THRIVIN 👀 LAUNCH LIVE NOW.","85800","yes","0.35","https://www.facebook.com/100066432025945","Not yet rated","Shopify","117508","325000","Klaviyo","72.25","65.5","{""mobile"":{""performance"":42,""accessibility"":89,""bestPractices"":73,""seo"":85,""avg"":72.25},""desktop"":{""performance"":0,""accessibility"":97,""bestPractices"":73,""seo"":92,""avg"":65.5}}"
